Alabama,7,39,273,66,5.43,1482
Arizona,25,36,900,360,2.18,1962
Arkansas,20,49,980,176,1.8,1764
California,320,43,13760,2752,1.78,24493
Colorado,30,41,1230,455,2.09,2571
Florida,192,46,8832,883,2.28,20137
Georgia,101,34,3434,412,2.36,8104
Hawaii,15,105,1575,79,1.61,2536
Idaho,107,35,3745,637,1.75,6554
Illinois,10,52,520,156,5.56,2891
,,,,,,
Indiana,9,55,495,149,4.14,2049
Iowa,35,58,2030,1259,2.59,5258
Kansas,8,62,496,164,2.93,1453
Kentucky,7,33,231,58,6.25,1444
Louisiana,33,69,2277,228,2.42,5510
Maine,10,30,300,78,3.26,978
Michigan,95,47,4465,1384,2.7,12056
Minnesota,108,55,5940,2495,1.75,10395
Mississippi,25,73,1825,146,1.94,3541
Missouri,9,41,369,100,3.31,1221
,,,,,,
Montana,110,81,8910,3208,1.57,13989
Nebraska,37,52,1924,250,1.71,3290
New Jersey,14,31,434,91,7.99,3468
New York,58,56,3248,844,3.39,11011
North Carolina,12,38,456,123,5.13,2339
North Dakota,495,78,38610,8108,1.6,61776
Ohio,16,75,1200,576,3.85,4620
Oregon,95,29,2755,1102,2.47,6805
Pennsylvania,19,48,912,392,4.74,4323
South Carolina,16,46,736,66,3.28,2414
,,,,,,
South Dakota,245,61,14945,8668,1.6,23912
Tennessee,7,51,357,54,4.39,1567
Texas,157,57,8949,1253,1.9,17003
Utah,28,34,952,171,2.07,1971
Vermont,6,47,282,96,3.76,1060
Virginia,5,40,200,54,5.44,1088
Washington,98,37,3626,798,2.54,9210
West Virginia,6,46,276,58,3.89,1074
Wisconsin,45,50,2250,855,3.26,7335
Wyoming,38,40,1520,608,1.66,2523
,,,,,,
Other States 5/ 6/,33,42,1375,303,4.36,5995
,,,,,,
United States 6/ 7/,2706,54.5,147594,39715,2.03,299616
